wavelength,reflectance
754.413,17.36
754.729,15.5
755.045,15.61
755.361,15.85
755.677,17
755.992,18.55
756.308,17.52
756.624,20.2
756.94,19.16
757.255,18.92
757.571,18.42
757.887,15.59
758.202,17.76
758.518,21.6
758.833,18.67
759.148,19.15
759.464,19.13
759.779,17.12
760.094,19.69
760.41,15.26
760.725,17.15
761.04,17.33
761.355,19.19
761.67,19.48
761.985,19.48
762.3,17.93
762.615,17.27
762.93,17.32
763.244,20.02
763.559,20.31
763.874,16.7
764.188,18.48
764.503,18.8
764.818,16.49
765.132,17.67
765.447,18.77
765.761,18.88
766.075,20.91
766.39,18.72
766.704,20.44
767.018,20.19
767.332,20.36
767.646,20.53
767.961,20.71
768.275,21.94
768.589,19.03
768.903,17.21
769.216,18.09
769.53,20.21
769.844,17.42
770.158,19.93
770.472,19.05
770.785,15.98
771.099,18.72
771.413,18.35
771.726,17.99
772.04,20.3
772.353,16.87
772.666,21.96
772.98,16.78
773.293,16.78
773.606,21.92
773.919,17.18
774.233,21.69
774.546,15.98
774.859,19.4
775.172,18.49
775.485,22
775.798,17.93
776.111,22.05
776.423,15.75
776.736,21.28
777.049,21.7
777.362,19.42
777.674,20.37
777.987,22.77
778.299,16.08
778.612,17.41
778.924,21.59
779.237,22.46
779.549,21.08
779.862,22.08
780.174,20.74
780.486,16.12
780.798,16.14
781.11,18.1
781.422,20.45
781.735,23.46
782.046,21.18
782.358,16.72
782.67,19.26
782.982,18.87
783.294,21.14
783.606,20.4
783.917,21.67
784.229,19.77
784.541,22.17
784.852,19.9
785.164,21.76
785.475,17.51
785.787,21.27
